year,est,min,max,VE,outcome
2028,96947469.00944223,76842003.90959546,126310300.84257643,VE3,I_avd_
2029,122270412.53888443,98032334.55300052,158452140.74399495,VE3,I_avd_
2030,150716771.9321384,122028934.57816052,194187873.7438968,VE3,I_avd_
2021,19471.219356234924,10951.930725169483,35797.67283135969,VE3,Ires_avd_
2022,58715.97060011576,34922.610984643106,102985.68599781988,VE3,Ires_avd_
2023,118059.36423334837,72854.02936251252,201772.5805814163,VE3,Ires_avd_
2024,197834.153736189,125267.44483937362,330883.6937930783,VE3,Ires_avd_
2025,299228.09711521614,192072.30992068409,494162.72888715554,VE3,Ires_avd_
2026,422637.95098289027,274109.74013441056,690320.4184809111,VE3,Ires_avd_
2027,568382.534107111,370276.75767320144,920425.0537576589,VE3,Ires_avd_
2028,736830.415556039,481734.383592707,1186885.4439700844,VE3,Ires_avd_
2029,928350.196283959,610287.7619616623,1485413.2453826133,VE3,Ires_avd_
2030,1143308.5074469657,755138.4116907348,1819727.7866981039,VE3,Ires_avd_
2021,6956.180622040271,4030.3110965036963,11339.147441526595,VE3,D_avd_
2022,20983.3243292975,13032.904273779244,32928.27109551577,VE3,D_avd_
2023,42205.59534690775,27357.26821234323,64415.85204106504,VE3,D_avd_
2024,70749.6302485607,47283.821948555444,105678.30084249913,VE3,D_avd_
2025,107130.0854094364,73533.64532465287,157866.79320185783,VE3,D_avd_
2026,151498.00687696814,105947.96252153562,220780.1305573844,VE3,D_avd_
2027,203968.06747169967,144542.4358509251,294341.68836403085,VE3,D_avd_
2028,264675.75499149284,189276.51190569456,378982.2331272972,VE3,D_avd_
2029,333756.62675249396,240538.13810534758,475311.3326433712,VE3,D_avd_
2030,411346.23448978853,298366.63939095486,583097.548786869,VE3,D_avd_
2021,19471.219356234924,10951.930725169483,35797.67283135969,VE3,Ires2_avd_
2022,137037.6822946947,79343.65429018048,240600.00605382022,VE3,Ires2_avd_
2023,432653.7876678714,255711.83494919125,736214.0540399891,VE3,Ires2_avd_
2024,987579.7672333801,602799.6427769058,1628725.2828533128,VE3,Ires2_avd_
2025,1551343.4065049957,1173590.2734454428,3093273.803889648,VE3,Ires2_avd_
2026,2124401.1795058846,2037899.9315679506,5261522.317520623,VE3,Ires2_avd_
2027,2707057.339149627,3256486.804380779,8253728.529265434,VE3,Ires2_avd_
2028,3299429.5391622307,4889131.1132019125,12218663.51128827,VE3,Ires2_avd_
2029,3901561.834851774,7014635.6708202325,17271283.19534523,VE3,Ires2_avd_
2030,4512829.982353248,9708523.385862827,23535953.96463839,VE3,Ires2_avd_
